epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3016,1.32103,2.75526,1.81925,0.00333,1,0.02955,0.00912,1.57225,3.81709,1.9125,2e-05,2e-05,2e-05
2,22.8537,1.1585,2.61696,1.64603,0.00333,1,0.0617,0.02595,1.02249,3.35171,1.45497,5.8812e-05,5.8812e-05,5.8812e-05
3,32.9659,0.74692,2.46413,1.33462,0.00333,1,0.731,0.38412,0.42266,3.14972,0.89839,9.604e-05,9.604e-05,9.604e-05
4,42.4098,0.5098,2.30894,1.2239,0.00333,1,0.995,0.796,0.27584,3.09171,0.66682,0.000131684,0.000131684,0.000131684
5,52.1583,0.6156,2.1657,1.30465,0.00333,1,0.995,0.8163,0.2729,3.05115,0.62962,0.000165744,0.000165744,0.000165744
6,61.5855,0.37813,1.88705,1.17445,0.00333,1,0.9125,0.78,0.30851,3.03583,0.69077,0.00019822,0.00019822,0.00019822
7,70.769,0.33846,1.60181,1.12795,0.00333,1,0.72,0.55967,0.54838,3.11765,0.88878,0.000229112,0.000229112,0.000229112
8,80.0109,0.34748,1.35432,1.08169,0.00333,1,0.83,0.56099,0.74768,3.33592,1.11517,0.00025842,0.00025842,0.00025842
9,89.2636,0.2687,1.04277,1.015,0.00333,1,0.61,0.466,0.83075,3.40649,1.18321,0.000286144,0.000286144,0.000286144
10,98.8689,0.32214,1.06558,1.07515,0.00333,1,0.80643,0.61686,0.89064,3.46257,1.26079,0.000312284,0.000312284,0.000312284
11,108.092,0.31349,0.91206,1.08947,0.00333,1,0.995,0.8515,0.69396,3.36138,1.05922,0.00033684,0.00033684,0.00033684
12,117.434,0.3255,0.92375,1.05545,0.00333,1,0.995,0.951,0.37704,2.90778,0.78206,0.000359812,0.000359812,0.000359812
13,126.895,0.37952,1.04087,1.0994,0.02601,1,0.995,0.929,0.31769,2.68859,0.6455,0.0003812,0.0003812,0.0003812
14,136.128,0.32383,0.92702,1.05981,1,0.87759,0.995,0.995,0.28537,2.45933,0.56575,0.000401004,0.000401004,0.000401004
15,145.449,0.2842,0.7651,1.01909,0.93541,1,0.995,0.995,0.21741,2.37977,0.47829,0.000419224,0.000419224,0.000419224
16,154.916,0.3194,0.81371,1.06139,0.93782,1,0.995,0.995,0.21389,2.43676,0.48679,0.00043586,0.00043586,0.00043586
17,164.223,0.29983,0.78318,1.02155,0.96218,1,0.995,0.995,0.32415,2.32374,0.5795,0.000450912,0.000450912,0.000450912
18,173.555,0.30458,0.85165,1.0339,0.97521,1,0.995,0.995,0.38618,2.21986,0.59596,0.00046438,0.00046438,0.00046438
19,182.874,0.35744,0.82109,1.07053,0.98029,1,0.995,0.962,0.38947,2.01303,0.62091,0.000476264,0.000476264,0.000476264
20,192.178,0.31491,0.83238,1.06207,0.98735,1,0.995,0.995,0.40183,2.06018,0.67079,0.000486564,0.000486564,0.000486564
21,201.479,0.3474,0.86592,1.05808,0.98948,1,0.995,0.995,0.45504,2.04288,0.71328,0.00049528,0.00049528,0.00049528
22,210.767,0.328,0.84203,1.02407,0.98311,1,0.995,0.8955,0.82601,2.64312,0.989,0.000502412,0.000502412,0.000502412
23,219.908,0.32322,0.87317,1.02104,0.97877,1,0.995,0.7635,1.33498,3.07873,1.50687,0.00050796,0.00050796,0.00050796
24,229.082,0.29219,0.81908,1.00785,0.97854,1,0.995,0.8625,0.8911,2.3517,1.37325,0.000511924,0.000511924,0.000511924
25,238.206,0.33517,0.77258,1.03793,0.98244,1,0.995,0.8295,0.77144,1.99874,1.30586,0.000514304,0.000514304,0.000514304
26,247.342,0.27094,0.72224,1.03468,0.98112,1,0.995,0.7635,0.87046,2.02525,1.42339,0.0005151,0.0005151,0.0005151
27,256.516,0.29838,0.75625,1.00893,0.97322,1,0.995,0.7437,0.89033,2.10734,1.2707,0.000514312,0.000514312,0.000514312
28,265.695,0.35469,0.78658,1.08398,0.97322,1,0.995,0.7437,0.89033,2.10734,1.2707,0.00051194,0.00051194,0.00051194
29,274.823,0.28794,0.71709,1.00218,0.73231,1,0.83,0.6645,0.59449,1.85691,0.88344,0.000507984,0.000507984,0.000507984
30,284.067,0.23672,0.68466,1.01905,0.73451,1,0.9125,0.76375,0.41542,1.68778,0.66046,0.000502444,0.000502444,0.000502444
31,293.207,0.25415,0.65543,1.00095,0.73451,1,0.9125,0.76375,0.41542,1.68778,0.66046,0.00049532,0.00049532,0.00049532
32,302.381,0.24452,0.71183,0.99546,0.73012,0.92049,0.9125,0.87125,0.35023,1.70463,0.57095,0.000486612,0.000486612,0.000486612
33,311.644,0.34717,0.82759,1.10088,0.69431,1,0.9125,0.8333,0.35929,1.75736,0.58914,0.00047632,0.00047632,0.00047632
34,320.868,0.28931,0.73075,1.01173,0.69431,1,0.9125,0.8333,0.35929,1.75736,0.58914,0.000464444,0.000464444,0.000464444
35,330.108,0.2214,0.6007,0.94285,0.72887,0.91548,0.9125,0.8545,0.35842,1.98092,0.61373,0.000450984,0.000450984,0.000450984
36,339.411,0.26715,0.67492,1.00629,0.59271,1,0.83,0.618,0.3472,1.95419,0.62496,0.00043594,0.00043594,0.00043594
37,348.599,0.22329,0.64854,0.96555,0.59271,1,0.83,0.618,0.3472,1.95419,0.62496,0.000419312,0.000419312,0.000419312
38,357.794,0.35033,0.76405,1.07549,0.94736,1,0.995,0.73154,0.55879,2.34319,0.74944,0.0004011,0.0004011,0.0004011
39,367.047,0.26387,0.6804,1.0129,0.96961,1,0.995,0.38462,1.14131,2.18365,1.0278,0.000381304,0.000381304,0.000381304
40,376.252,0.21987,0.62345,0.97134,0.96961,1,0.995,0.38462,1.14131,2.18365,1.0278,0.000359924,0.000359924,0.000359924
41,385.602,0.3525,2.0118,1.09875,0.73373,1,0.9125,0.6885,0.47377,1.88545,0.74257,0.00033696,0.00033696,0.00033696
42,394.807,0.23605,1.68437,1.02282,0.96867,1,0.995,0.951,0.34302,1.48969,0.60422,0.000312412,0.000312412,0.000312412
43,403.879,0.19633,1.24973,0.99357,0.96867,1,0.995,0.951,0.34302,1.48969,0.60422,0.00028628,0.00028628,0.00028628
44,413.029,0.23677,1.36311,1.05478,0.98337,1,0.995,0.995,0.27356,1.51419,0.53208,0.000258564,0.000258564,0.000258564
45,422.201,0.18517,1.1897,1.05542,0.98337,1,0.995,0.995,0.27356,1.51419,0.53208,0.000229264,0.000229264,0.000229264
46,431.42,0.23251,1.34049,1.09647,0.98411,1,0.995,0.995,0.23856,1.41738,0.49104,0.00019838,0.00019838,0.00019838
47,440.644,0.22799,1.13658,1.11775,0.98411,1,0.995,0.995,0.23856,1.41738,0.49104,0.000165912,0.000165912,0.000165912
48,449.984,0.15834,1.02645,1.00691,0.98338,1,0.995,0.995,0.2294,1.23284,0.47776,0.00013186,0.00013186,0.00013186
49,459.857,0.17254,0.96154,1.05173,0.98338,1,0.995,0.995,0.2294,1.23284,0.47776,9.6224e-05,9.6224e-05,9.6224e-05
50,469.61,0.27755,1.06194,1.12706,0.9851,1,0.995,0.995,0.21256,1.10759,0.45861,5.9004e-05,5.9004e-05,5.9004e-05
